youtube_id,song,lyric,author
HBG3hBBiYLk,Waterfalls,"A lonely mother gazing out of her window
Staring at a son that she just can't touch
If at any time he's in a jam
She'll be by his side
But he doesn't realize he hurts her so much
But all the praying just ain't helping
At all 'cause he can't seem to keep
His self out of trouble
So he goes out and he makes his money
The best way he knows how
Another body laying cold in the gutter
Listen to me
[Chorus]
Don't go chasing waterfalls
Please stick to the rivers and lakes that
You're used to
I know that you're gonna have it your way
Or nothing at all
But I think you're moving too fast
Little precious has a natural obsession
For temptation but he just can't see
She gives him loving that his body can't handle
But all he can say is baby it's good to me
One day he goes and takes a glimpse
In the mirror
But he doesn't recognize his own face
His health is fading and he doesn't know why
3 letters took him to his final resting place
Y'all don't hear me
[Chorus]
I seen a rainbow yesterday
But too many storms have come and gone
Leavin' a trace of not one God-given ray
Is it because my life is ten shades of gray
I pray all ten fade away
Seldom praise Him for the sunny days
And like His promise is true
Only my faith can undo
The many chances I blew
To bring my life to anew
Clear blue and unconditional skies
Have dried the tears from my eyes
No more lonely cries
My only bleedin' hope
Is for the folk who can't cope
Wit such an endurin' pain
That it keeps 'em in the pourin' rain
Who's to blame
For tootin' caine in your own vein
What a shame
You shoot and aim for someone else's brain
You claim the insane
And name this day in time
For fallin' prey to crime
I say the system got you victim to your own mind
Dreams are hopeless aspirations
In hopes of comin' true
Believe in yourself
The rest is up to me and you
[Chorus]",TLC 
8YlnhtXo0Tk,I Will Survive,"At first I was afraid I was petrified
Kept thinkin' I could never live without you by my side;
But then I spent so many nights
Thinkin' how you did me wrong
And I grew strong
And I learned how to get along
And so you're back from outer space
I just walked in to find you here with that sad look upon your face
I should have changed that stupid lock
I should have made you leave your key
If I'd've known for just one second you'd back to bother me
Go on now, go walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to hurt me with goodbye
Did I crumble
Did you think I'd lay down and die?
Oh no, not.I. I will survive
Oh as long as I know how to love I know I'll stay alive;
I've got all my life to live,
I've got all my love to give and I'll survive,
I will survive. Hey hey.
It took all the strength I had not to fall apart
Kept trying' hard to mend the pieces of my broken heart,
And I spent oh so many nights
Just feeling sorry for myself. I used to cry
But now I hold my head up high
And you see me, somebody new
I'm not that chained up little person still in love with you,
And so you feel like droppin' in
And just expect me to be free,
Now I'm savin' all my lovin' for someone who's lovin' me
Go on now, go, walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to hurt me with goodbye
Did I crumble
Did you think I'd lay down and die?
Oh no, not.I. I will survive
Oh as long as I know how to love I know I'll stay alive;
I've got all my life to live,
I've got all my love to give and I'll survive,
I will survive. Hey hey.",Gloria Gaynor 
ZNr2XyEawig,Un-Break My Heart,"Don't leave me in all this pain
Don't leave me out in the rain
Come back and bring back my smile
Come and take these tears away
I need your arms to hold me now
The night are so unkind
Bring back those nights when I held you beside me
Un-break my heart
Say you'll me again
Undo this hurt you caused
When you walked out the door
And walked out of my life
Un-cry these tears
I cried so many nights
Un-break my heart
My heart
Take back that sad word good-bye
Bring back the joy to my life
Don't leave me here with these tears
Come and kiss that pain away
I can't forget the day you left
Time is so unkind
And life is so cruel without you here beside me
Un-break my heart
Say you'll love me again
Undo this hurt you caused
When you walked out the door
And walked out of my life
Un-cry these tears
I cried so many nights
Un-break my heart
My heart
Don't leave me in all this pain
Don't leave me out in the rain
Bring back the nights when I held you beside me
Un-break my heart
Say you'll love me again
Undo this hurt you caused
When you walked out the door
And walked out of my life
Un-cry that tears
I cried so many, many nights
Un-break my
Un-break my heart
Come back and say you love me
Un-break my heart
Sweet darlin'
Without you I just can't go on
Can't go on....",Toni Braxton 
STD-eKEN2LM,..Baby One More Time,"Oh baby, baby
Oh baby, baby Oh baby, baby
How was I supposed to know
That something wasn't right here
Oh baby baby
I shouldn't have let you go
And now you're out of sight, yeah
Show me, how you want it to be
Tell me baby
'Cause I need to know now what we've got
[CHORUS:]
My loneliness is killing me
I must confess, I still believe
When I'm not with you I lose my mind
Give me a sign
Hit me baby one more time
Oh baby, baby
The reason I breathe is you
Boy you got me blinded
Oh baby, baby
There's nothing that I wouldn't do
That's not the way I planned it
Show me, how you want it to be
Tell me baby
'Cause I need to know now what we've got
[Repeat CHORUS]
Oh baby, baby
Oh baby, baby
Ah, yeah, yeah
Oh baby, baby
How was I supposed to know
Oh pretty baby
I shouldn't have let you go
I must confess, that my loneliness
Is killing me now
Don't you know I still believe
That you will be here
And give me a sign
Hit me baby one more time
[Repeat CHORUS]
I must confess that my loneliness
Is killing me now
Don't you know I still believe
That you will be here
And give me a sign
Hit me baby one more time",Britney Spears 
XDeiovnCv1o,Take A Bow,"Take a bow, the night is over
This masquerade is getting older
Light are low, the curtains down
There's no one here
[There's no one here, there's no one in the crowd]
Say your lines but do you feel them
Do you mean what you say when there's no one around [no one around]
Watching you, watching me, one lonely star
[One lonely star you don't know who you are]
Chorus:
I've always been in love with you [always with you]
I guess you've always known it's true [you know it's true]
You took my love for granted, why oh why
The show is over, say good-bye
Say good-bye [bye bye], say good-bye
Make them laugh, it comes so easy
When you get to the part
Where you're breaking my heart [breaking my heart]
Hide behind your smile, all the world loves a clown
[Just make 'em smile the whole world loves a clown]
Wish you well, I cannot stay
You deserve an award for the role that you played [role that you played]
No more masquerade, you're one lonely star
[One lonely star and you don't know who you are]
(chorus, repeat)
Say good-bye [bye bye], say good-bye
All the world is a stage [world is a stage]
And everyone has their part [has their part]
But how was I to know which way the story'd go
How was I to know you'd break
[You'd break, you'd break, you'd break]
You'd break my heart
I've always been in love with you
[I've always been in love with you]
Guess you've always known
You took my love for granted, why oh why
The show is over, say good-bye
(chorus)
Say good-bye [bye bye], say good-bye
Say good-bye",Madonna 
6v9at5RlFu4,Baby Got Back,"[Intro]
Oh, my, god. Becky, look at her butt. 
It is so big. *scoff* She looks like, 
one of those rap guys' girlfriends. 
But, y'know, who understands those rap guys *scoff* 
They only talk to her, because, 
she looks like a total prostitute, 'kay 
I mean, her butt, is just so big. *scoff* 
I can't believe it's just so round, it's like, 
out there, I mean - gross. Look! 
She's just so ... black!
[Sir Mix-a-Lot]
I like big butts and I can not lie
You other brothers can't deny
That when a girl walks in with an itty bitty waste
And a round thing in your face
You get sprung, wanna pull up tough
'Cause you notice that butt was stuffed
Deep in the jeans she's wearing
I'm hooked and I can't stop staring
Oh baby, I wanna get wit'cha 
And take your picture
My homeboys tried to warn me
But with that butt you got makes 
Ooh, Rump-o'-smooth-skin
You say you wanna get in my Benz
Well, use me, use me 
'Cause you ain't that average groupy
I've seen them dancin' 
The hell with romancin'
She's wet, wet, 
Got it goin' like a turbo 'Vette
I'm tired of magazines
Sayin' flat butts are the thing
Take the average black man and ask him that
She gotta pack much back
So, fellas! (Yeah!) Fellas! (Yeah!)
Has your girlfriend got the butt (Hell yeah!)
Tell 'em to shake it! (Shake it!) Shake it! (Shake it!)
Shake that healthy butt!
Baby got back!
(LA face with Oakland booty)
Baby got back!
[Sir Mix-a-Lot]
I like 'em round, and big
And when I'm throwin' a gig
I just can't help myself, I'm actin' like an animal
Now here's my scandal
I wanna get you home
And ugh, double-up, ugh, ugh
I ain't talkin' bout Playboy
'Cause silicone parts are made for toys
I want 'em real thick and juicy
So find that juicy double
Mix-a-Lot's in trouble
Beggin' for a piece of that bubble
So I'm lookin' at rock videos
Watchin' these bimbos walkin' like hoes
You can have them bimbos
I'll keep my women like Flo Jo
A word to the thick soul sistas, I wanna get with ya
I won't cuss or hit ya
But I gotta be straight when I say I wanna *fuck*
Til the break of dawn
Baby got it goin' on
A lot of simps won't like this song
'Cause them punks like to hit it and quit it
And I'd rather stay and play
'Cause I'm long, and I'm strong
And I'm down to get the friction on
So, ladies! {Yeah!} Ladies! {Yeah}
If you wanna role in my Mercedes {Yeah!}
Then turn around! Stick it out!
Even white boys got to shout
Baby got back!
Baby got back!
Yeah, baby ... when it comes to females, Cosmo ain't got nothin' 
to do with my selection. 36-24-36 Ha ha, only if she's 5'3 quot;.
[Sir Mix-a-Lot]
So your girlfriend rolls a Honda, playin' workout tapes by Fonda
But Fonda ain't got a motor in the back of her Honda
My anaconda don't want none 
Unless you've got buns, hon
You can do side bends or sit-ups, 
But please don't lose that butt
Some brothers wanna play that  quot;hard quot; role 
And tell you that the butt ain't go
So they toss it and leave it
And I pull up quick to retrieve it
So Cosmo says you're fat
Well I ain't down with that!
'Cause your waste is small and your curves are kickin'
And I'm thinkin' bout stickin'
To the beanpole dames in the magazines:
You ain't it, Miss Thing!
Give me a sista, I can't resist her
Red beans and rice didn't miss her
Some knucklehead tried to dis
'Cause his girls are on my list
He had game but he chose to hit 'em
And I pull up quick to get wit 'em
So ladies, if the butt is round,
And you want a triple X throw down,
Dial 1-900-MIXALOT
And kick them nasty thoughts
Baby got back!
(Little in the middle but she got much back) [4x]",Sir Mix-A-Lot 
bt7rSV_W1j4,I Wanna Know,"Yeah, oh yeah
Alright, oh, oh, oh
It's amazing how you knock me off my feet, hmm
Everytime you come around me I get weak, oh yeah
Nobody ever made me feel this way, oh
You kiss my lips and then you take my breath away
So I wanna know
[1] - I wanna know what turns you on
So I can be all that and more
I'd like to know what makes you cry
So I can be the one who always makes you smile
Girl he never understood what you were worth, hmm no
And he never took the time to make it work
(You deserve more loving, girl)
Baby I'm the type of man to show concern, yes I do, oh
Anyway that I can please you let me learn
So I wanna know
[Repeat 1]
[2] - Tell me what I gotta do to please you
Baby anything you say I'll do
Cause I only wanna make you happy
From the bottom of my heart, it's true
[Repeat 2]
I wish that I could take a journey through your mind, alright
And find emotions that you always try to hide babe, oh
I do believe that there's a love you wanna share, oh, oh
I'll take good care of you lady, have no fear, oh
So I wanna know
[Repeat 1]
[Repeat 2 (2x)]
[Repeat 1 till end]",Joe 
xvX_5ym_ajI,Celebration,"Ya Hooo, It's a celebration, 
Ya Hooo, It's a celebration
Celebrate good times, come on,
Celebrate good times, come on,
There's a party goin on right here,
A celebration, to last throughout the years,
So bring your good times, and your laughter too,
We gonna celebrate your party with you, come on now
Celebration...Let's all celebrate and have a good time.
Celebration...We gonna celebrate and have a good time.
It's time to come together, it's up to you, what's your pleasure?
Everyone around the world come on!
Ya hoo..It a Celebration, Ya Hoo...,
Celebrate good times, come on, come on and celebrate
Celebrate good times, come on, and everything's gonna be alright.
We're gonna have a good time tonight, let's celebrate, it's alright
We're gonna have a good time tonight, let's celebrate, it's alright
(Celebration) We're gonna have a good time tonight, let's celebrate, it's alright
(Celebration) We're gonna have a good time tonight, let's celebrate, it's alright
Ya Hooo, Ya Hooo
Celebrate good times come on, Let's celebrate, come on now
Celebrate good times come on, Let's celebrate, come on and celebrate
Celebrate good times come on, Let's celebrate, come on now
Celebrate good times come on, Let's celebrate, come on and celebrate
(Repeat last 4)",Kool & The Gang 
z0xBWPHHzBw,Everybody Wants To Rule The World,"Welcome to your life
There's no turning back
Even while WE sleep
We will find you
Acting on your best behaviour
Turn your back on mother nature
Everybody wants to rule the world
It's my own design
It's my own remorse
Help me to decide
Help ME make the most
Of freedom and of pleasure
Nothing ever lasts forever
Everybody wants to rule the world
There's a room where the light won't find you
Holding hands while the walls come tumbling down
When they do I'll be right behind youSo glad we've almost made it
So sad they had TO fade it
Everybody wants to rule the world
I can't stand this indecision
Married with a lack of vision
Everybody wants to rule the world
Say that you'll never never never NEVER need it
One headline why believe it ?
Everybody wants to rule the world
All for freedom and for pleasure
Nothing ever lasts forever
Everybody wants to rule the world",Tears For Fears 
VLz6aIW2svk,Run It!,"Run ... Run
Run Run Run
[Jermaine Dupri]
Clap your hands (RUN)
Yall know what this is
SO SO DEF
[Bow Wow]
[Rap]
Now lil mama just break it down
For the boy Bow Wow & that boy Chris Brown
All I wanna do is see you take it to the ground, bring it up slow
Twurk that thang like them girls in the videos
And I`m leavin here with somethin 
I come wit dat good game baby girl I aint frontin
I got that Bentley GT parked outside
So scream at a nigga when your ready to ride
Come on
[Chris Brown]
Let me talk to you
Tell you how it is
I was thinkin when I saw that body gotta get shawty
Tell her what the young boy gon do
Damn them chicks wit chu gotta be your kin
Babe pretty thick wit the kick that's sick that need to be hit
So tell me what ya'll gon do
[Hook]
I got friends, and you got friends
They hop out, and you hop in
I look fly, and they jockin
The way you drop, drop makes me wanna pop [2x]
[Chorus]
Is ya man (hey)
on the flo? (oh)
If he ain't... 
Let me know (let me know)
Let me see if you can run it, run it
girl indeed I can run it, run it [2x]
(Chris come on man ... )
[Chris Brown]
You'll see
Girl I can set you off
Don't believe my age is gonna slow us down
I can definitly show you things
that's gon have you sayin I can't be 16 (ohhh)
Once I get in you won't wanna go
(and I...)
I'll have yo girls wishin they were you
(and I...)
I know your heard about me, but guess what's goin down if we leave
[Hook]
I got friends, and you got friends (word)
They hop out, and you hop in (word)
I look fly, and they jockin (worrrd?)
The way you drop, drop makes me wanna pop [2x]
[Chorus]
Is ya man on the flo? 
If he ain't... 
Let me know 
Let me see if you can run it, run it
girl indeed I can run it, run it [2x]
(Lets take it to the bridge ... )
[Bridge]
Girl you feel right
(Feel right)
Make me feel like...
(feel like...)
I wanna do a little somethin
(do a little somethin)
Ain't no thing let you do it fo sho
Girl the way that your wearin them jeans is turnin me on
I'm the hottest thing thats in these streets so baby won't you rock me...
(Bow Wow holla at em ...)
[Bow Wow]
Now if ya man aint on the flo then i`ma step in
Replace him
Tell yo friends 
After party at my spot
Shawty gotta come back cuz she so hot
Now we lookin for them grown girls that aint scared to get to it
Know what to do when we drop that music (right)
Lil mini skirts cuz she lookin good
Got different color weaves mayne she so hood
I like em thick in the waist (uhh) 
Ten in the face
The girls come to us so we dont chase
She move her booty like a lowrider.... up... down
Man she likes the way that I puts it down
And aint nothin to a G i do this on the daily
You dont believe me you can ask JD (yea man you can ask me)
And it aint no second guessin mayne
Matter fact babygirl I got one question now
[Chorus 2x]
(Right about now I need everyone to get to the dance floor)
[Music til' fade out...]",Chris Brown 
3rIs2S2WH7M,Bleeding Love,"Closed off from love 
I didn't need the pain 
Once or twice was enough 
And it was all in vain 
Time starts to pass 
Before you know it you're frozen 
But something happened 
For the very first time with you 
My heart melts into the ground 
Found something true 
And everyone's looking round 
Thinking I'm going crazy 
But I don't care what they say 
I'm in love with you 
They try to pull me away 
But they don't know the truth 
My heart's crippled by the vein 
That I keep on closing 
You cut me open and I 
Keep bleeding 
Keep, keep bleeding love 
I keep bleeding 
I keep, keep bleeding love 
Keep bleeding 
Keep, keep bleeding love 
You cut me open 
Trying hard not to hear 
But they talk so loud 
Their piercing sounds fill my ears 
Try to fill me with doubt 
Yet I know that the goal 
Is to keep me from falling 
But nothing's greater 
Than the rush that comes with your embrace 
And in this world of loneliness 
I see your face 
Yet everyone around me 
Thinks that I'm going crazy, maybe, maybe 
But I don't care what they say 
I'm in love with you 
They try to pull me away 
But they don't know the truth 
My heart's crippled by the vein 
That I keep on closing 
You cut me open and I 
Keep bleeding 
Keep, keep bleeding love 
I keep bleeding 
I keep, keep bleeding love 
Keep bleeding 
Keep, keep bleeding love 
You cut me open 
And it's draining all of me 
Oh they find it hard to believe 
I'll be wearing these scars 
For everyone to see 
I don't care what they say 
I'm in love with you 
They try to pull me away 
But they don't know the truth 
My heart's crippled by the vein 
That I keep on closing 
You cut me open and I 
Keep bleeding 
Keep, keep bleeding love 
I keep bleeding 
I keep, keep bleeding love 
Keep bleeding 
Keep, keep bleeding love 
You cut me open and I 
Keep bleeding 
Keep, keep bleeding love 
I keep bleeding 
I keep, keep bleeding love 
Keep bleeding 
Keep, keep bleeding love 
You cut me open and I 
Keep bleeding 
Keep, keep bleeding love",Leona Lewis 
-wnwNniYQ9E,Nothing's Gonna Stop Us Now,"Looking in your eyes I see a paradise 
This world that I've found 
Is too good to be true 
Standing here beside you 
Want so much to give you 
This love in my heart that I'm feeling for you 
Let 'em say we're crazy, I don't care about that 
Put your hand in my hand baby 
Don't ever look back 
Let the world around us just fall apart 
Baby we can make it if we're heart to heart 
Chorus: 
And we can build this dream together 
Standing strong forever 
Nothing's gonna stop us now 
And if this world runs out of lovers 
We'll still have each other 
Nothing's gonna stop us, nothing's gonna stop us now 
I'm so glad I found you 
I'm not gonna lose you 
Whatever it takes I will stay here with you 
Take it to the good times 
See it through the bad times 
Whatever it takes is what I'm gonna do 
Let 'em say we're crazy, what do they know 
Put your arms around me baby 
Don't ever let go 
Let the world around us just fall apart 
Baby we can make it if we're heart to heart And we can build this dream together 
Standing strong forever 
Nothing's gonna stop us now 
And if this world runs out of lovers 
We'll still have each other 
Nothing's gonna stop us, nothing's gonna stop us 
Ooh, all that I need is you 
All that I ever need 
And all that I want to do 
Is hold you forever, ever and ever, hey 
(Guitar solo) 
And we can build this dream together 
Standing strong forever 
Nothing's gonna stop us now 
And if this world runs out of lovers 
We'll still have each other 
Nothing's gonna stop us 
Nothing's gonna stop us, whoa 
Nothing's gonna stop us now, oh no 
Hey baby, I know, hey baby, nothing's gonna stop us 
Hey baby, woo, nothing, hey baby 
Nothing's gonna stop us now yeah",Starship 
